name maker type city date time
Русская ВЛ колбаса Прядь 01.11 5
Докторская ВЛ колбаса Прядь 01.11 6
Докторская Мясоед колбаса СПб 01.11 5
Русская Естьмясо колбаса Мск 02.11 7
Милый Вкусняш йогурт СПб 02.11 4
Русская Здоровье водка СПб 03.11 365
Докторская Естьмясо колбаса Мск 03.11 6
Нежный Вкусняш кефир Бирюсово 03.11 4
Буря Милко молоко СПб 04.11 17
Стоящее Молзавод молоко Пск 04.11 3
Нежный Молзавод йогурт Пск 04.11 13
Быстрый Вкуснящ кефир Бирюсово 05.11 8
Малые ВЛ сосиски Прядь 05.11 8
Зеленый Чаепитие чай СПб 05.11 200
Зеленый Влага чай Прядь 05.11 220
Черный Чаепитие чай СПб 06.11 200
Кипр Влага чай Прядь 06.11 220
Сливочные Мясоед сардельки СПб 07.11 9
Нежный Чаепитие чай СПб 08.11 200
